NumTrainingEpisode,AvgRewardsForAll,EpisodeReward,Alpha,Epsilon,Gamma,Lambda
1,-480.0,-480.0,0.2,0.05,0.8,-NA-
2,23.5,527.0,0.2,0.05,0.8,-NA-
3,191.66666666666666,528.0,0.2,0.05,0.8,-NA-
4,275.5,527.0,0.2,0.05,0.8,-NA-
5,326.2,529.0,0.2,0.05,0.8,-NA-
6,360.0,529.0,0.2,0.05,0.8,-NA-
7,383.57142857142856,525.0,0.2,0.05,0.8,-NA-
8,401.25,525.0,0.2,0.05,0.8,-NA-
9,415.22222222222223,527.0,0.2,0.05,0.8,-NA-
10,425.8,521.0,0.2,0.05,0.8,-NA-
11,435.1818181818182,529.0,0.2,0.05,0.8,-NA-
12,443.0,529.0,0.2,0.05,0.8,-NA-
13,449.46153846153845,527.0,0.2,0.05,0.8,-NA-
14,454.7142857142857,523.0,0.2,0.05,0.8,-NA-
15,459.53333333333336,527.0,0.2,0.05,0.8,-NA-
16,463.375,521.0,0.2,0.05,0.8,-NA-
17,467.11764705882354,527.0,0.2,0.05,0.8,-NA-
18,470.44444444444446,527.0,0.2,0.05,0.8,-NA-
19,473.2105263157895,523.0,0.2,0.05,0.8,-NA-
20,476.0,529.0,0.2,0.05,0.8,-NA-
21,478.5238095238095,529.0,0.2,0.05,0.8,-NA-
22,480.6363636363636,525.0,0.2,0.05,0.8,-NA-
23,482.4782608695652,523.0,0.2,0.05,0.8,-NA-
24,484.25,525.0,0.2,0.05,0.8,-NA-
25,486.04,529.0,0.2,0.05,0.8,-NA-
26,487.53846153846155,525.0,0.2,0.05,0.8,-NA-
27,488.9259259259259,525.0,0.2,0.05,0.8,-NA-
28,490.07142857142856,521.0,0.2,0.05,0.8,-NA-
29,491.3448275862069,527.0,0.2,0.05,0.8,-NA-
30,492.46666666666664,525.0,0.2,0.05,0.8,-NA-
31,493.64516129032256,529.0,0.2,0.05,0.8,-NA-
32,494.625,525.0,0.2,0.05,0.8,-NA-
33,495.54545454545456,525.0,0.2,0.05,0.8,-NA-
34,496.47058823529414,527.0,0.2,0.05,0.8,-NA-
35,468.34285714285716,-488.0,0.2,0.05,0.8,-NA-
36,470.02777777777777,529.0,0.2,0.05,0.8,-NA-
37,471.5135135135135,525.0,0.2,0.05,0.8,-NA-
38,473.0263157894737,529.0,0.2,0.05,0.8,-NA-
39,474.4102564102564,527.0,0.2,0.05,0.8,-NA-
40,475.775,529.0,0.2,0.05,0.8,-NA-
41,477.0243902439024,527.0,0.2,0.05,0.8,-NA-
42,478.1666666666667,525.0,0.2,0.05,0.8,-NA-
43,479.25581395348837,525.0,0.2,0.05,0.8,-NA-
44,480.29545454545456,525.0,0.2,0.05,0.8,-NA-
45,481.2888888888889,525.0,0.2,0.05,0.8,-NA-
46,482.32608695652175,529.0,0.2,0.05,0.8,-NA-
47,483.3191489361702,529.0,0.2,0.05,0.8,-NA-
48,484.2291666666667,527.0,0.2,0.05,0.8,-NA-
49,485.1020408163265,527.0,0.2,0.05,0.8,-NA-
50,485.9,525.0,0.2,0.05,0.8,-NA-
51,486.7450980392157,529.0,0.2,0.05,0.8,-NA-
52,487.5192307692308,527.0,0.2,0.05,0.8,-NA-
53,488.2641509433962,527.0,0.2,0.05,0.8,-NA-
54,488.94444444444446,525.0,0.2,0.05,0.8,-NA-
55,489.6,525.0,0.2,0.05,0.8,-NA-
56,490.26785714285717,527.0,0.2,0.05,0.8,-NA-
57,490.87719298245617,525.0,0.2,0.05,0.8,-NA-
58,491.5,527.0,0.2,0.05,0.8,-NA-
59,492.10169491525426,527.0,0.2,0.05,0.8,-NA-
60,492.71666666666664,529.0,0.2,0.05,0.8,-NA-
61,493.27868852459017,527.0,0.2,0.05,0.8,-NA-
62,493.8225806451613,527.0,0.2,0.05,0.8,-NA-
63,494.3809523809524,529.0,0.2,0.05,0.8,-NA-
64,494.828125,523.0,0.2,0.05,0.8,-NA-
65,495.3538461538462,529.0,0.2,0.05,0.8,-NA-
66,495.77272727272725,523.0,0.2,0.05,0.8,-NA-
67,496.23880597014926,527.0,0.2,0.05,0.8,-NA-
68,496.6617647058824,525.0,0.2,0.05,0.8,-NA-
69,497.07246376811594,525.0,0.2,0.05,0.8,-NA-
70,497.5,527.0,0.2,0.05,0.8,-NA-
71,497.9154929577465,527.0,0.2,0.05,0.8,-NA-
72,498.34722222222223,529.0,0.2,0.05,0.8,-NA-
73,498.7671232876712,529.0,0.2,0.05,0.8,-NA-
74,499.14864864864865,527.0,0.2,0.05,0.8,-NA-
75,499.49333333333334,525.0,0.2,0.05,0.8,-NA-
76,499.88157894736844,529.0,0.2,0.05,0.8,-NA-
77,500.24675324675326,528.0,0.2,0.05,0.8,-NA-
78,500.61538461538464,529.0,0.2,0.05,0.8,-NA-
79,500.9746835443038,529.0,0.2,0.05,0.8,-NA-
80,501.325,529.0,0.2,0.05,0.8,-NA-
81,501.641975308642,527.0,0.2,0.05,0.8,-NA-
82,501.9512195121951,527.0,0.2,0.05,0.8,-NA-
83,502.2530120481928,527.0,0.2,0.05,0.8,-NA-
84,502.57142857142856,529.0,0.2,0.05,0.8,-NA-
85,502.8588235294118,527.0,0.2,0.05,0.8,-NA-
86,503.09302325581393,523.0,0.2,0.05,0.8,-NA-
87,503.367816091954,527.0,0.2,0.05,0.8,-NA-
88,503.6136363636364,525.0,0.2,0.05,0.8,-NA-
89,503.87640449438203,527.0,0.2,0.05,0.8,-NA-
90,504.15555555555557,529.0,0.2,0.05,0.8,-NA-
91,504.4065934065934,527.0,0.2,0.05,0.8,-NA-
92,504.64130434782606,526.0,0.2,0.05,0.8,-NA-
93,504.8817204301075,527.0,0.2,0.05,0.8,-NA-
94,505.1170212765957,527.0,0.2,0.05,0.8,-NA-
95,505.36842105263156,529.0,0.2,0.05,0.8,-NA-
96,505.59375,527.0,0.2,0.05,0.8,-NA-
