NumTrainingEpisode,AvgRewardsForAll,EpisodeReward,Alpha,Epsilon,Gamma,Lambda
1,505.0,505.0,0.2,0.05,0.8,-NA-
2,0.5,-504.0,0.2,0.05,0.8,-NA-
3,166.33333333333334,498.0,0.2,0.05,0.8,-NA-
4,248.5,495.0,0.2,0.05,0.8,-NA-
5,298.6,499.0,0.2,0.05,0.8,-NA-
6,333.1666666666667,506.0,0.2,0.05,0.8,-NA-
7,358.0,507.0,0.2,0.05,0.8,-NA-
8,250.25,-504.0,0.2,0.05,0.8,-NA-
9,278.55555555555554,505.0,0.2,0.05,0.8,-NA-
10,200.0,-507.0,0.2,0.05,0.8,-NA-
11,135.9090909090909,-505.0,0.2,0.05,0.8,-NA-
12,82.58333333333333,-504.0,0.2,0.05,0.8,-NA-
13,37.46153846153846,-504.0,0.2,0.05,0.8,-NA-
14,70.92857142857143,506.0,0.2,0.05,0.8,-NA-
15,32.6,-504.0,0.2,0.05,0.8,-NA-
16,61.5,495.0,0.2,0.05,0.8,-NA-
17,87.47058823529412,503.0,0.2,0.05,0.8,-NA-
18,110.11111111111111,495.0,0.2,0.05,0.8,-NA-
19,77.78947368421052,-504.0,0.2,0.05,0.8,-NA-
20,99.15,505.0,0.2,0.05,0.8,-NA-
21,118.57142857142857,507.0,0.2,0.05,0.8,-NA-
22,90.27272727272727,-504.0,0.2,0.05,0.8,-NA-
23,108.3913043478261,507.0,0.2,0.05,0.8,-NA-
24,82.875,-504.0,0.2,0.05,0.8,-NA-
25,59.4,-504.0,0.2,0.05,0.8,-NA-
26,76.61538461538461,507.0,0.2,0.05,0.8,-NA-
27,92.51851851851852,506.0,0.2,0.05,0.8,-NA-
28,107.03571428571429,499.0,0.2,0.05,0.8,-NA-
29,86.06896551724138,-501.0,0.2,0.05,0.8,-NA-
30,99.83333333333333,499.0,0.2,0.05,0.8,-NA-
31,80.38709677419355,-503.0,0.2,0.05,0.8,-NA-
32,93.71875,507.0,0.2,0.05,0.8,-NA-
33,106.0,499.0,0.2,0.05,0.8,-NA-
34,117.44117647058823,495.0,0.2,0.05,0.8,-NA-
35,128.34285714285716,499.0,0.2,0.05,0.8,-NA-
36,138.80555555555554,505.0,0.2,0.05,0.8,-NA-
37,121.43243243243244,-504.0,0.2,0.05,0.8,-NA-
38,131.3684210526316,499.0,0.2,0.05,0.8,-NA-
39,115.07692307692308,-504.0,0.2,0.05,0.8,-NA-
40,124.85,506.0,0.2,0.05,0.8,-NA-
41,109.51219512195122,-504.0,0.2,0.05,0.8,-NA-
42,94.88095238095238,-505.0,0.2,0.05,0.8,-NA-
43,104.23255813953489,497.0,0.2,0.05,0.8,-NA-
44,113.38636363636364,507.0,0.2,0.05,0.8,-NA-
45,99.75555555555556,-500.0,0.2,0.05,0.8,-NA-
46,86.6086956521739,-505.0,0.2,0.05,0.8,-NA-
47,74.04255319148936,-504.0,0.2,0.05,0.8,-NA-
48,62.0,-504.0,0.2,0.05,0.8,-NA-
49,71.08163265306122,507.0,0.2,0.05,0.8,-NA-
50,79.8,507.0,0.2,0.05,0.8,-NA-
51,88.13725490196079,505.0,0.2,0.05,0.8,-NA-
52,76.75,-504.0,0.2,0.05,0.8,-NA-
53,65.79245283018868,-504.0,0.2,0.05,0.8,-NA-
54,73.92592592592592,505.0,0.2,0.05,0.8,-NA-
55,63.41818181818182,-504.0,0.2,0.05,0.8,-NA-
56,71.33928571428571,507.0,0.2,0.05,0.8,-NA-
57,78.84210526315789,499.0,0.2,0.05,0.8,-NA-
58,86.22413793103448,507.0,0.2,0.05,0.8,-NA-
59,76.22033898305085,-504.0,0.2,0.05,0.8,-NA-
60,83.38333333333334,506.0,0.2,0.05,0.8,-NA-
61,90.18032786885246,498.0,0.2,0.05,0.8,-NA-
62,96.70967741935483,495.0,0.2,0.05,0.8,-NA-
63,103.22222222222223,507.0,0.2,0.05,0.8,-NA-
64,93.734375,-504.0,0.2,0.05,0.8,-NA-
65,84.49230769230769,-507.0,0.2,0.05,0.8,-NA-
66,90.71212121212122,495.0,0.2,0.05,0.8,-NA-
67,81.83582089552239,-504.0,0.2,0.05,0.8,-NA-
68,87.97058823529412,499.0,0.2,0.05,0.8,-NA-
69,94.0,504.0,0.2,0.05,0.8,-NA-
70,99.9,507.0,0.2,0.05,0.8,-NA-
71,91.3943661971831,-504.0,0.2,0.05,0.8,-NA-
72,83.06944444444444,-508.0,0.2,0.05,0.8,-NA-
73,75.02739726027397,-504.0,0.2,0.05,0.8,-NA-
74,80.70270270270271,495.0,0.2,0.05,0.8,-NA-
75,72.90666666666667,-504.0,0.2,0.05,0.8,-NA-
76,78.61842105263158,507.0,0.2,0.05,0.8,-NA-
77,71.05194805194805,-504.0,0.2,0.05,0.8,-NA-
78,76.64102564102564,507.0,0.2,0.05,0.8,-NA-
79,82.07594936708861,506.0,0.2,0.05,0.8,-NA-
80,87.3875,507.0,0.2,0.05,0.8,-NA-
81,80.08641975308642,-504.0,0.2,0.05,0.8,-NA-
82,72.96341463414635,-504.0,0.2,0.05,0.8,-NA-
83,78.04819277108433,495.0,0.2,0.05,0.8,-NA-
84,83.1547619047619,507.0,0.2,0.05,0.8,-NA-
