NumTrainingEpisode,AvgRewardsForAll,EpisodeReward,Alpha,Epsilon,Gamma,Lambda
1,528.0,528.0,0.2,0.05,0.8,-NA-
2,528.5,529.0,0.2,0.05,0.8,-NA-
3,528.0,527.0,0.2,0.05,0.8,-NA-
4,528.25,529.0,0.2,0.05,0.8,-NA-
5,528.0,527.0,0.2,0.05,0.8,-NA-
6,526.5,519.0,0.2,0.05,0.8,-NA-
7,526.5714285714286,527.0,0.2,0.05,0.8,-NA-
8,526.875,529.0,0.2,0.05,0.8,-NA-
9,527.1111111111111,529.0,0.2,0.05,0.8,-NA-
10,527.0,526.0,0.2,0.05,0.8,-NA-
11,434.72727272727275,-488.0,0.2,0.05,0.8,-NA-
12,442.4166666666667,527.0,0.2,0.05,0.8,-NA-
13,448.9230769230769,527.0,0.2,0.05,0.8,-NA-
14,454.5,527.0,0.2,0.05,0.8,-NA-
15,459.2,525.0,0.2,0.05,0.8,-NA-
16,463.4375,527.0,0.2,0.05,0.8,-NA-
17,467.29411764705884,529.0,0.2,0.05,0.8,-NA-
18,470.6111111111111,527.0,0.2,0.05,0.8,-NA-
19,473.6842105263158,529.0,0.2,0.05,0.8,-NA-
20,476.35,527.0,0.2,0.05,0.8,-NA-
21,478.85714285714283,529.0,0.2,0.05,0.8,-NA-
22,481.04545454545456,527.0,0.2,0.05,0.8,-NA-
23,483.04347826086956,527.0,0.2,0.05,0.8,-NA-
24,484.875,527.0,0.2,0.05,0.8,-NA-
25,486.48,525.0,0.2,0.05,0.8,-NA-
26,487.88461538461536,523.0,0.2,0.05,0.8,-NA-
27,489.3333333333333,527.0,0.2,0.05,0.8,-NA-
28,490.60714285714283,525.0,0.2,0.05,0.8,-NA-
29,491.86206896551727,527.0,0.2,0.05,0.8,-NA-
30,493.1,529.0,0.2,0.05,0.8,-NA-
31,494.258064516129,529.0,0.2,0.05,0.8,-NA-
32,495.34375,529.0,0.2,0.05,0.8,-NA-
33,496.3030303030303,527.0,0.2,0.05,0.8,-NA-
34,497.1470588235294,525.0,0.2,0.05,0.8,-NA-
35,497.9428571428571,525.0,0.2,0.05,0.8,-NA-
36,498.75,527.0,0.2,0.05,0.8,-NA-
37,499.56756756756755,529.0,0.2,0.05,0.8,-NA-
38,500.2894736842105,527.0,0.2,0.05,0.8,-NA-
39,500.9230769230769,525.0,0.2,0.05,0.8,-NA-
40,501.625,529.0,0.2,0.05,0.8,-NA-
41,502.2926829268293,529.0,0.2,0.05,0.8,-NA-
42,502.92857142857144,529.0,0.2,0.05,0.8,-NA-
43,503.48837209302326,527.0,0.2,0.05,0.8,-NA-
44,504.0681818181818,529.0,0.2,0.05,0.8,-NA-
45,504.6222222222222,529.0,0.2,0.05,0.8,-NA-
46,505.1521739130435,529.0,0.2,0.05,0.8,-NA-
47,505.5744680851064,525.0,0.2,0.05,0.8,-NA-
48,506.0208333333333,527.0,0.2,0.05,0.8,-NA-
49,506.3673469387755,523.0,0.2,0.05,0.8,-NA-
50,506.78,527.0,0.2,0.05,0.8,-NA-
51,507.2156862745098,529.0,0.2,0.05,0.8,-NA-
52,507.59615384615387,527.0,0.2,0.05,0.8,-NA-
