NumTrainingEpisode,AvgRewardsForAll,EpisodeReward,Alpha,Epsilon,Gamma,Lambda
1,506.0,506.0,0.2,0.05,0.8,-NA-
2,1.0,-504.0,0.2,0.05,0.8,-NA-
3,-167.33333333333334,-504.0,0.2,0.05,0.8,-NA-
4,1.0,506.0,0.2,0.05,0.8,-NA-
5,100.6,499.0,0.2,0.05,0.8,-NA-
6,-0.16666666666666666,-504.0,0.2,0.05,0.8,-NA-
7,-72.14285714285714,-504.0,0.2,0.05,0.8,-NA-
8,-0.875,498.0,0.2,0.05,0.8,-NA-
9,-57.22222222222222,-508.0,0.2,0.05,0.8,-NA-
10,-102.1,-506.0,0.2,0.05,0.8,-NA-
11,-46.72727272727273,507.0,0.2,0.05,0.8,-NA-
12,-85.08333333333333,-507.0,0.2,0.05,0.8,-NA-
13,-39.61538461538461,506.0,0.2,0.05,0.8,-NA-
14,-72.78571428571429,-504.0,0.2,0.05,0.8,-NA-
15,-101.53333333333333,-504.0,0.2,0.05,0.8,-NA-
16,-126.6875,-504.0,0.2,0.05,0.8,-NA-
17,-89.88235294117646,499.0,0.2,0.05,0.8,-NA-
18,-56.833333333333336,505.0,0.2,0.05,0.8,-NA-
19,-80.6842105263158,-510.0,0.2,0.05,0.8,-NA-
20,-51.8,497.0,0.2,0.05,0.8,-NA-
21,-73.33333333333333,-504.0,0.2,0.05,0.8,-NA-
22,-92.77272727272727,-501.0,0.2,0.05,0.8,-NA-
23,-66.73913043478261,506.0,0.2,0.05,0.8,-NA-
24,-85.20833333333333,-510.0,0.2,0.05,0.8,-NA-
25,-101.96,-504.0,0.2,0.05,0.8,-NA-
26,-78.53846153846153,507.0,0.2,0.05,0.8,-NA-
27,-94.25925925925925,-503.0,0.2,0.05,0.8,-NA-
28,-72.78571428571429,507.0,0.2,0.05,0.8,-NA-
29,-52.793103448275865,507.0,0.2,0.05,0.8,-NA-
30,-67.86666666666666,-505.0,0.2,0.05,0.8,-NA-
31,-82.16129032258064,-511.0,0.2,0.05,0.8,-NA-
32,-63.8125,505.0,0.2,0.05,0.8,-NA-
33,-46.60606060606061,504.0,0.2,0.05,0.8,-NA-
34,-30.323529411764707,507.0,0.2,0.05,0.8,-NA-
35,-44.0,-509.0,0.2,0.05,0.8,-NA-
36,-28.694444444444443,507.0,0.2,0.05,0.8,-NA-
37,-41.729729729729726,-511.0,0.2,0.05,0.8,-NA-
38,-27.31578947368421,506.0,0.2,0.05,0.8,-NA-
39,-39.56410256410256,-505.0,0.2,0.05,0.8,-NA-
40,-25.9,507.0,0.2,0.05,0.8,-NA-
41,-12.951219512195122,505.0,0.2,0.05,0.8,-NA-
42,-24.642857142857142,-504.0,0.2,0.05,0.8,-NA-
43,-12.465116279069768,499.0,0.2,0.05,0.8,-NA-
44,-23.636363636363637,-504.0,0.2,0.05,0.8,-NA-
45,-12.044444444444444,498.0,0.2,0.05,0.8,-NA-
46,-0.9347826086956522,499.0,0.2,0.05,0.8,-NA-
47,-11.638297872340425,-504.0,0.2,0.05,0.8,-NA-
48,-1.0833333333333333,495.0,0.2,0.05,0.8,-NA-
49,9.285714285714286,507.0,0.2,0.05,0.8,-NA-
50,19.0,495.0,0.2,0.05,0.8,-NA-
51,28.568627450980394,507.0,0.2,0.05,0.8,-NA-
52,18.28846153846154,-506.0,0.2,0.05,0.8,-NA-
53,8.433962264150944,-504.0,0.2,0.05,0.8,-NA-
54,-1.0555555555555556,-504.0,0.2,0.05,0.8,-NA-
55,8.036363636363637,499.0,0.2,0.05,0.8,-NA-
56,16.946428571428573,507.0,0.2,0.05,0.8,-NA-
57,25.50877192982456,505.0,0.2,0.05,0.8,-NA-
58,33.63793103448276,497.0,0.2,0.05,0.8,-NA-
59,24.508474576271187,-505.0,0.2,0.05,0.8,-NA-
60,32.516666666666666,505.0,0.2,0.05,0.8,-NA-
61,40.24590163934426,504.0,0.2,0.05,0.8,-NA-
62,47.774193548387096,507.0,0.2,0.05,0.8,-NA-
63,55.06349206349206,507.0,0.2,0.05,0.8,-NA-
64,62.0,499.0,0.2,0.05,0.8,-NA-
65,68.83076923076923,506.0,0.2,0.05,0.8,-NA-
66,75.28787878787878,495.0,0.2,0.05,0.8,-NA-
67,81.73134328358209,507.0,0.2,0.05,0.8,-NA-
68,87.80882352941177,495.0,0.2,0.05,0.8,-NA-
69,79.15942028985508,-509.0,0.2,0.05,0.8,-NA-
70,70.71428571428571,-512.0,0.2,0.05,0.8,-NA-
71,62.61971830985915,-504.0,0.2,0.05,0.8,-NA-
72,54.75,-504.0,0.2,0.05,0.8,-NA-
73,60.945205479452056,507.0,0.2,0.05,0.8,-NA-
74,66.97297297297297,507.0,0.2,0.05,0.8,-NA-
75,59.28,-510.0,0.2,0.05,0.8,-NA-
76,51.76315789473684,-512.0,0.2,0.05,0.8,-NA-
77,57.51948051948052,495.0,0.2,0.05,0.8,-NA-
78,63.243589743589745,504.0,0.2,0.05,0.8,-NA-
79,68.83544303797468,505.0,0.2,0.05,0.8,-NA-
80,61.675,-504.0,0.2,0.05,0.8,-NA-
81,54.60493827160494,-511.0,0.2,0.05,0.8,-NA-
82,47.73170731707317,-509.0,0.2,0.05,0.8,-NA-
83,53.265060240963855,507.0,0.2,0.05,0.8,-NA-
84,58.666666666666664,507.0,0.2,0.05,0.8,-NA-
85,63.94117647058823,507.0,0.2,0.05,0.8,-NA-
86,69.05813953488372,504.0,0.2,0.05,0.8,-NA-
87,74.0919540229885,507.0,0.2,0.05,0.8,-NA-
88,78.98863636363636,505.0,0.2,0.05,0.8,-NA-
89,83.66292134831461,495.0,0.2,0.05,0.8,-NA-
90,77.13333333333334,-504.0,0.2,0.05,0.8,-NA-
91,70.71428571428571,-507.0,0.2,0.05,0.8,-NA-
92,75.45652173913044,507.0,0.2,0.05,0.8,-NA-
93,79.96774193548387,495.0,0.2,0.05,0.8,-NA-
94,84.42553191489361,499.0,0.2,0.05,0.8,-NA-
95,88.78947368421052,499.0,0.2,0.05,0.8,-NA-
96,82.54166666666667,-511.0,0.2,0.05,0.8,-NA-
97,86.90721649484536,506.0,0.2,0.05,0.8,-NA-
98,91.1938775510204,507.0,0.2,0.05,0.8,-NA-
99,85.1919191919192,-503.0,0.2,0.05,0.8,-NA-
100,89.29,495.0,0.2,0.05,0.8,-NA-
101,93.34653465346534,499.0,0.2,0.05,0.8,-NA-
102,97.32352941176471,499.0,0.2,0.05,0.8,-NA-
103,91.48543689320388,-504.0,0.2,0.05,0.8,-NA-
104,95.47115384615384,506.0,0.2,0.05,0.8,-NA-
105,99.31428571428572,499.0,0.2,0.05,0.8,-NA-
106,103.06603773584905,497.0,0.2,0.05,0.8,-NA-
107,97.34579439252336,-509.0,0.2,0.05,0.8,-NA-
108,101.02777777777777,495.0,0.2,0.05,0.8,-NA-
109,104.75229357798165,507.0,0.2,0.05,0.8,-NA-
110,99.21818181818182,-504.0,0.2,0.05,0.8,-NA-
111,93.77477477477477,-505.0,0.2,0.05,0.8,-NA-
112,97.39285714285714,499.0,0.2,0.05,0.8,-NA-
113,100.94690265486726,499.0,0.2,0.05,0.8,-NA-
114,104.50877192982456,507.0,0.2,0.05,0.8,-NA-
115,99.20869565217392,-505.0,0.2,0.05,0.8,-NA-
116,102.64655172413794,498.0,0.2,0.05,0.8,-NA-
117,106.03418803418803,499.0,0.2,0.05,0.8,-NA-
118,100.86440677966101,-504.0,0.2,0.05,0.8,-NA-
119,104.17647058823529,495.0,0.2,0.05,0.8,-NA-
120,99.10833333333333,-504.0,0.2,0.05,0.8,-NA-
121,102.3801652892562,495.0,0.2,0.05,0.8,-NA-
122,105.68852459016394,506.0,0.2,0.05,0.8,-NA-
123,108.95121951219512,507.0,0.2,0.05,0.8,-NA-
124,103.93548387096774,-513.0,0.2,0.05,0.8,-NA-
125,107.16,507.0,0.2,0.05,0.8,-NA-
126,102.24603174603175,-512.0,0.2,0.05,0.8,-NA-
127,105.41732283464567,505.0,0.2,0.05,0.8,-NA-
128,100.65625,-504.0,0.2,0.05,0.8,-NA-
129,103.79069767441861,505.0,0.2,0.05,0.8,-NA-
130,99.04615384615384,-513.0,0.2,0.05,0.8,-NA-
131,102.16030534351145,507.0,0.2,0.05,0.8,-NA-
132,97.58333333333333,-502.0,0.2,0.05,0.8,-NA-
133,100.66165413533835,507.0,0.2,0.05,0.8,-NA-
134,103.63432835820896,499.0,0.2,0.05,0.8,-NA-
135,106.60740740740741,505.0,0.2,0.05,0.8,-NA-
136,109.55147058823529,507.0,0.2,0.05,0.8,-NA-
137,105.07299270072993,-504.0,0.2,0.05,0.8,-NA-
138,107.98550724637681,507.0,0.2,0.05,0.8,-NA-
139,103.56834532374101,-506.0,0.2,0.05,0.8,-NA-
140,106.39285714285714,499.0,0.2,0.05,0.8,-NA-
141,102.06382978723404,-504.0,0.2,0.05,0.8,-NA-
142,104.85211267605634,498.0,0.2,0.05,0.8,-NA-
143,107.66433566433567,507.0,0.2,0.05,0.8,-NA-
144,110.4375,507.0,0.2,0.05,0.8,-NA-
145,113.17241379310344,507.0,0.2,0.05,0.8,-NA-
146,108.89041095890411,-512.0,0.2,0.05,0.8,-NA-
147,104.6734693877551,-511.0,0.2,0.05,0.8,-NA-
148,100.5608108108108,-504.0,0.2,0.05,0.8,-NA-
149,103.23489932885906,499.0,0.2,0.05,0.8,-NA-
150,105.92666666666666,507.0,0.2,0.05,0.8,-NA-
151,108.56953642384106,505.0,0.2,0.05,0.8,-NA-
152,111.1907894736842,507.0,0.2,0.05,0.8,-NA-
