NumTrainingEpisode,AvgRewardsForAll,EpisodeReward,Alpha,Epsilon,Gamma,Lambda
1,523.0,523.0,0.2,0.05,0.8,0.5
2,6.0,-511.0,0.2,0.05,0.8,0.5
3,179.66666666666666,527.0,0.2,0.05,0.8,0.5
4,14.75,-480.0,0.2,0.05,0.8,0.5
5,117.2,527.0,0.2,0.05,0.8,0.5
6,184.83333333333334,523.0,0.2,0.05,0.8,0.5
7,234.0,529.0,0.2,0.05,0.8,0.5
8,270.625,527.0,0.2,0.05,0.8,0.5
9,298.6666666666667,523.0,0.2,0.05,0.8,0.5
10,321.7,529.0,0.2,0.05,0.8,0.5
11,340.3636363636364,527.0,0.2,0.05,0.8,0.5
12,355.9166666666667,527.0,0.2,0.05,0.8,0.5
13,369.0769230769231,527.0,0.2,0.05,0.8,0.5
14,380.5,529.0,0.2,0.05,0.8,0.5
15,389.8666666666667,521.0,0.2,0.05,0.8,0.5
16,397.1875,507.0,0.2,0.05,0.8,0.5
17,344.0,-507.0,0.2,0.05,0.8,0.5
18,354.1666666666667,527.0,0.2,0.05,0.8,0.5
19,363.2631578947368,527.0,0.2,0.05,0.8,0.5
20,371.4,526.0,0.2,0.05,0.8,0.5
21,378.9047619047619,529.0,0.2,0.05,0.8,0.5
22,385.72727272727275,529.0,0.2,0.05,0.8,0.5
23,391.69565217391306,523.0,0.2,0.05,0.8,0.5
24,354.625,-498.0,0.2,0.05,0.8,0.5
25,361.36,523.0,0.2,0.05,0.8,0.5
26,367.7307692307692,527.0,0.2,0.05,0.8,0.5
27,373.6296296296296,527.0,0.2,0.05,0.8,0.5
28,379.10714285714283,527.0,0.2,0.05,0.8,0.5
29,384.2068965517241,527.0,0.2,0.05,0.8,0.5
30,389.03333333333336,529.0,0.2,0.05,0.8,0.5
31,360.93548387096774,-482.0,0.2,0.05,0.8,0.5
32,366.0625,525.0,0.2,0.05,0.8,0.5
33,370.93939393939394,527.0,0.2,0.05,0.8,0.5
34,375.5882352941176,529.0,0.2,0.05,0.8,0.5
35,379.9142857142857,527.0,0.2,0.05,0.8,0.5
36,384.0,527.0,0.2,0.05,0.8,0.5
37,387.9189189189189,529.0,0.2,0.05,0.8,0.5
38,391.57894736842104,527.0,0.2,0.05,0.8,0.5
39,395.05128205128204,527.0,0.2,0.05,0.8,0.5
40,398.35,527.0,0.2,0.05,0.8,0.5
41,401.3414634146341,521.0,0.2,0.05,0.8,0.5
42,404.3333333333333,527.0,0.2,0.05,0.8,0.5
43,407.2325581395349,529.0,0.2,0.05,0.8,0.5
44,410.0,529.0,0.2,0.05,0.8,0.5
45,412.6,527.0,0.2,0.05,0.8,0.5
46,415.0869565217391,527.0,0.2,0.05,0.8,0.5
47,417.468085106383,527.0,0.2,0.05,0.8,0.5
48,419.7916666666667,529.0,0.2,0.05,0.8,0.5
49,422.0204081632653,529.0,0.2,0.05,0.8,0.5
50,424.16,529.0,0.2,0.05,0.8,0.5
51,426.1764705882353,527.0,0.2,0.05,0.8,0.5
52,428.11538461538464,527.0,0.2,0.05,0.8,0.5
53,429.9433962264151,525.0,0.2,0.05,0.8,0.5
54,431.74074074074076,527.0,0.2,0.05,0.8,0.5
55,433.5090909090909,529.0,0.2,0.05,0.8,0.5
56,435.10714285714283,523.0,0.2,0.05,0.8,0.5
57,436.719298245614,527.0,0.2,0.05,0.8,0.5
58,438.2413793103448,525.0,0.2,0.05,0.8,0.5
59,439.6779661016949,523.0,0.2,0.05,0.8,0.5
60,424.28333333333336,-484.0,0.2,0.05,0.8,0.5
61,425.9344262295082,525.0,0.2,0.05,0.8,0.5
62,427.5967741935484,529.0,0.2,0.05,0.8,0.5
63,429.2063492063492,529.0,0.2,0.05,0.8,0.5
64,430.734375,527.0,0.2,0.05,0.8,0.5
65,432.24615384615385,529.0,0.2,0.05,0.8,0.5
66,433.6515151515151,525.0,0.2,0.05,0.8,0.5
67,435.04477611940297,527.0,0.2,0.05,0.8,0.5
68,436.3970588235294,527.0,0.2,0.05,0.8,0.5
69,437.7391304347826,529.0,0.2,0.05,0.8,0.5
70,439.04285714285714,529.0,0.2,0.05,0.8,0.5
71,440.3098591549296,529.0,0.2,0.05,0.8,0.5
72,441.4583333333333,523.0,0.2,0.05,0.8,0.5
73,442.63013698630135,527.0,0.2,0.05,0.8,0.5
74,443.7162162162162,523.0,0.2,0.05,0.8,0.5
75,444.74666666666667,521.0,0.2,0.05,0.8,0.5
76,445.7763157894737,523.0,0.2,0.05,0.8,0.5
77,446.75324675324674,521.0,0.2,0.05,0.8,0.5
78,447.8076923076923,529.0,0.2,0.05,0.8,0.5
79,448.82278481012656,528.0,0.2,0.05,0.8,0.5
80,449.775,525.0,0.2,0.05,0.8,0.5
81,450.7283950617284,527.0,0.2,0.05,0.8,0.5
82,451.5609756097561,519.0,0.2,0.05,0.8,0.5
83,452.4698795180723,527.0,0.2,0.05,0.8,0.5
84,453.3809523809524,529.0,0.2,0.05,0.8,0.5
85,454.2470588235294,527.0,0.2,0.05,0.8,0.5
86,455.06976744186045,525.0,0.2,0.05,0.8,0.5
87,455.91954022988506,529.0,0.2,0.05,0.8,0.5
88,456.71590909090907,526.0,0.2,0.05,0.8,0.5
89,457.5280898876405,529.0,0.2,0.05,0.8,0.5
90,458.3222222222222,529.0,0.2,0.05,0.8,0.5
91,459.05494505494505,525.0,0.2,0.05,0.8,0.5
92,459.79347826086956,527.0,0.2,0.05,0.8,0.5
93,460.5268817204301,528.0,0.2,0.05,0.8,0.5
94,461.1914893617021,523.0,0.2,0.05,0.8,0.5
95,461.88421052631577,527.0,0.2,0.05,0.8,0.5
96,462.4791666666667,519.0,0.2,0.05,0.8,0.5
97,463.1443298969072,527.0,0.2,0.05,0.8,0.5
98,463.81632653061223,529.0,0.2,0.05,0.8,0.5
99,464.4343434343434,525.0,0.2,0.05,0.8,0.5
100,454.85,-494.0,0.2,0.05,0.8,0.5
101,455.58415841584156,529.0,0.2,0.05,0.8,0.5
102,456.2843137254902,527.0,0.2,0.05,0.8,0.5
103,456.99029126213594,529.0,0.2,0.05,0.8,0.5
104,457.6826923076923,529.0,0.2,0.05,0.8,0.5
105,458.34285714285716,527.0,0.2,0.05,0.8,0.5
106,458.9339622641509,521.0,0.2,0.05,0.8,0.5
107,459.58878504672896,529.0,0.2,0.05,0.8,0.5
108,460.19444444444446,525.0,0.2,0.05,0.8,0.5
